lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.629, Time: 1.319707 s
         1544603 function calls (1520807 primitive calls) in 2.857 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.001    0.000    0.012    0.001 _backend_tk.py:748(_set_image_for_button)
      313    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      505    0.001    0.000    0.001    0.000 _linalg.py:192(_assert_stacked_2d)
     2090    0.001    0.000    0.006    0.000 <frozen abc>:117(__instancecheck__)
      434    0.001    0.000    0.001    0.000 {method 'getint' of '_tkinter.tkapp' objects}
      456    0.001    0.000    0.014    0.000 artist.py:1530(number_of_parameters)
      313    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      120    0.001    0.000    0.211    0.002 artist.py:1832(kwdoc)
  114/102    0.001    0.000    0.004    0.000 _base.py:851(_unstale_viewLim)
     1693    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      227    0.001    0.000    0.071    0.000 artist.py:1413(__init__)
     5108    0.001    0.000    0.001    0.000 path.py:223(codes)
      110    0.001    0.000    0.012    0.000 typing.py:673(Union)
      548    0.001    0.000    0.001    0.000 typing.py:1159(__getattr__)
       62    0.001    0.000    0.001    0.000 _stride_tricks_impl.py:427(_broadcast_shape)
     1813    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
    137/7    0.001    0.000    0.477    0.068 text.py:65(_get_text_metrics_with_cache)
     2404    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
      505    0.001    0.000    0.001    0.000 _linalg.py:198(_assert_stacked_square)
      180    0.001    0.000    0.003    0.000 markers.py:250(_recache)
     2682    0.001    0.000    0.001    0.000 _parser.py:256(match)
      735    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
      553    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
  152/144    0.001    0.000    0.001    0.000 spines.py:340(get_spine_transform)
       39    0.001    0.000    0.001    0.000 typing.py:347(_flatten_literal_params)
       18    0.001    0.000    0.001    0.000 {method 'decode' of 'ImagingDecoder' objects}
      356    0.001    0.000    0.001    0.000 inspect.py:788(_findclass)
      715    0.001    0.000    0.005    0.000 _methods.py:43(_amax)
      657    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      361    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        7    0.001    0.000    0.003    0.000 enum.py:906(_convert_)
     41/3    0.001    0.000    1.278    0.426 text.py:926(get_window_extent)
     2646    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
     2646    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      414    0.001    0.000    0.001    0.000 lines.py:1295(set_ydata)
      728    0.001    0.000    0.027    0.000 inspect.py:3067(from_callable)
     1397    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1171    0.001    0.000    0.001    0.000 {built-in method builtins.delattr}
     1252    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      118    0.001    0.000    0.003    0.000 font_manager.py:656(__init__)
      710    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      445    0.001    0.000    0.004    0.000 core.py:519(copy)
     5064    0.001    0.000    0.001    0.000 path.py:254(should_simplify)
      984    0.001    0.000    0.012    0.000 artist.py:1536(is_alias)
      728    0.001    0.000    0.028    0.000 inspect.py:3325(signature)
      266    0.001    0.000    0.002    0.000 transforms.py:1848(transform_affine)
     1694    0.001    0.000    0.001    0.000 unicode.py:63(<genexpr>)
     7477    0.001    0.000    0.001    0.000 inspect.py:2794(kind)
      387    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
       84    0.000    0.000    0.021    0.000 lines.py:1338(update_from)
       92    0.000    0.000    0.001    0.000 __init__.py:1588(_register)
       14    0.000    0.000    0.002    0.000 _backend_tk.py:774(_recolor_icon)
      264    0.000    0.000    0.001    0.000 markers.py:275(_set_fillstyle)
      756    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
     5064    0.000    0.000    0.000    0.000 path.py:242(simplify_threshold)
     1549    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      321    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      426    0.000    0.000    0.010    0.000 rcsetup.py:332(validate_color)
      455    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      387    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
       12    0.000    0.000    0.001    0.000 numeric.py:2349(isclose)
      111    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1457    0.000    0.000    0.001    0.000 _parser.py:293(tell)
      206    0.000    0.000    0.003    0.000 fromnumeric.py:51(_wrapfunc)
       34    0.000    0.000    0.001    0.000 _methods.py:100(_clip)
     1811    0.000    0.000    0.001    0.000 inspect.py:371(isfunction)
      326    0.000    0.000    0.014    0.000 artist.py:1237(set)
        1    0.000    0.000    0.477    0.477 pyplot.py:1(<module>)
      324    0.000    0.000    0.001    0.000 lines.py:1203(_set_markercolor)
      386    0.000    0.000    0.001    0.000 __init__.py:103(find_spec)
       45    0.000    0.000    0.002    0.000 colors.py:418(to_rgba_array)
        1    0.000    0.000    0.002    0.002 font_manager.py:1453(_findfont_cached)
      389    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
      313    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      105    0.000    0.000    0.265    0.003 artist.py:125(__init_subclass__)
     1549    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      799    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     1467    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      149    0.000    0.000    0.003    0.000 typing.py:317(_deduplicate)
  426/344    0.000    0.000    0.001    0.000 transforms.py:164(_invalidate_internal)
      104    0.000    0.000    0.003    0.000 transforms.py:804(from_extents)
       86    0.000    0.000    0.018    0.000 text.py:104(__init__)
