lebwohl_lasher_s_numba.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.368, Time: 11.546142 s
         2352399 function calls (2288376 primitive calls) in 13.533 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      504    0.001    0.000    0.001    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
      933    0.001    0.000    0.046    0.000 inspect.py:3067(from_callable)
      663    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
      294    0.001    0.000    0.003    0.000 __init__.py:389(__getattr__)
      238    0.001    0.000    0.074    0.000 templates.py:1100(_init_once)
      245    0.001    0.000    0.071    0.000 templates.py:907(_get_target_registry)
      696    0.001    0.000    0.002    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
  128/117    0.001    0.000    0.040    0.000 _docstring.py:122(__call__)
     2061    0.001    0.000    0.028    0.000 ffi.py:139(__getattr__)
     2911    0.001    0.000    0.004    0.000 castgraph.py:48(get)
      501    0.001    0.000    0.001    0.000 _linalg.py:198(_assert_stacked_square)
     2793    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
  334/266    0.001    0.000    0.029    0.000 typing.py:378(inner)
     1184    0.001    0.000    0.002    0.000 base.py:138(append)
      933    0.001    0.000    0.047    0.000 inspect.py:3325(signature)
       45    0.001    0.000    0.001    0.000 analysis.py:81(def_reach)
      847    0.001    0.000    0.001    0.000 enum.py:772(__delattr__)
     4509    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
1533/1410    0.001    0.000    0.019    0.000 contextlib.py:141(__exit__)
   306/12    0.001    0.000    0.005    0.000 core.py:806(_parseNoCache)
       64    0.001    0.000    0.006    0.000 deprecation.py:414(make_keyword_only)
      583    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      509    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
      238    0.001    0.000    0.001    0.000 core.py:457(__init__)
      227    0.001    0.000    0.028    0.000 _parser.py:969(parse)
      501    0.001    0.000    0.003    0.000 shape_base.py:217(_vhstack_dispatcher)
     1369    0.001    0.000    0.002    0.000 target_extension.py:15(__getitem__)
      100    0.001    0.000    0.011    0.000 pyplot.py:209(_add_pyplot_note)
     1227    0.001    0.000    0.004    0.000 templates.py:1248(register)
     2332    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      456    0.001    0.000    0.020    0.000 artist.py:1530(number_of_parameters)
     1039    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1641    0.001    0.000    0.001    0.000 event.py:270(on_end)
      364    0.001    0.000    0.001    0.000 numpy_support.py:410(choose_types)
     1227    0.001    0.000    0.001    0.000 context.py:524(insert_function)
      612    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     1701    0.001    0.000    0.001    0.000 ir.py:387(__getattr__)
     1469    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
     4973    0.001    0.000    0.001    0.000 artist.py:1557(<genexpr>)
      156    0.001    0.000    0.004    0.000 typing.py:317(_deduplicate)
      670    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2646    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      977    0.001    0.000    0.025    0.000 __init__.py:748(__setitem__)
     9578    0.001    0.000    0.001    0.000 inspect.py:2782(name)
        3    0.001    0.000    0.036    0.012 core.py:1(<module>)
     2927    0.001    0.000    0.003    0.000 castgraph.py:65(__getitem__)
      501    0.001    0.000    0.004    0.000 {method 'max' of 'numpy.ndarray' objects}
     16/1    0.001    0.000    0.208    0.208 lowering.py:266(lower_block)
      186    0.001    0.000    0.010    0.000 colors.py:324(_to_rgba_no_colorcycle)
       19    0.001    0.000    0.001    0.000 arrayprint.py:1668(_guarded_repr_or_str)
      227    0.001    0.000    0.083    0.000 artist.py:1413(__init__)
      238    0.001    0.000    0.016    0.000 extending.py:207(decorate)
     1307    0.001    0.000    0.002    0.000 values.py:564(_get_reference)
1533/1406    0.001    0.000    0.018    0.000 contextlib.py:132(__enter__)
      116    0.001    0.000    0.057    0.000 typeinfer.py:568(resolve)
      663    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      530    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1056    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
      178    0.001    0.000    0.002    0.000 npydecl.py:25(_handle_inputs)
     2646    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      501    0.001    0.000    0.012    0.000 _methods.py:68(_all)
   259/14    0.001    0.000    0.086    0.006 context.py:394(_load_builtins)
       54    0.001    0.000    0.002    0.000 __init__.py:347(__new__)
      247    0.001    0.000    0.006    0.000 typeof.py:27(typeof)
     1766    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       21    0.001    0.000    0.005    0.000 typing.py:2758(__new__)
      905    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       54    0.001    0.000    0.001    0.000 analysis.py:91(liveness)
        1    0.001    0.001    0.002    0.002 ipaddress.py:1(<module>)
      839    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     2049    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
